Iteration,Loss_D,Loss_G
12450,1.3215,4.2944
12500,0.9815,3.1618
12550,1.0092,4.5552
12600,0.8212,3.3075
12650,0.7787,3.2029
12700,1.0185,1.5596
12750,1.0387,1.4456
12800,0.8369,1.3506
12850,1.0227,1.2808
12900,0.9958,0.5325
12950,0.9258,2.6154
13000,1.0195,1.763
13050,0.876,1.7422
13100,1.2042,1.5053
13150,1.3012,2.8568
13200,0.9329,1.0666
13250,1.3206,3.3453
13300,1.34,3.1426
13350,1.3385,2.0102
13400,1.3978,1.728
13450,1.1291,2.2364
13500,1.341,1.5272
13550,1.0992,1.9914
13600,0.5851,1.3337
13650,1.951,1.4394
13700,1.3318,2.3339
13750,0.8449,0.5556
13800,1.0924,1.6604
13850,0.963,3.2179
13900,0.7445,1.1593
13950,1.3381,2.6278
14000,2.136,1.262
14050,0.8485,1.8551
14100,1.1726,2.8612
14150,1.3376,3.8001
14200,0.9681,2.4131
14250,0.8126,2.1203
14300,1.0872,4.4198
14350,0.9476,2.2954
14400,0.5793,0.8014
14450,1.4251,4.8707
14500,1.0691,1.4165
14550,0.8223,2.2748
14600,0.852,0.7909
14650,1.0951,1.4591
14700,1.5162,1.2296
14750,1.3293,1.5
14800,1.4999,3.4642
14850,1.0741,3.6882
14900,1.8256,4.6585
14950,1.2308,3.5478
15000,1.2314,1.98
15050,1.3689,3.5606
15100,1.3265,1.4042
15150,1.3162,2.6298
15200,1.3325,2.8156
15250,0.9491,1.8592
15300,0.882,2.429
15350,0.9306,2.6212
15400,0.9881,1.9345
15450,0.9626,2.4613
15500,0.6325,1.4125
15550,1.4248,3.9093
15600,0.8397,5.1487
15650,1.0035,1.4435
15700,0.988,0.8225
15750,2.8852,3.8208
15800,0.8426,2.3327
15850,1.1594,2.6027
15900,1.0205,1.9563
15950,1.29,1.7632
16000,1.4305,2.0041
16050,0.9942,5.4957
16100,1.743,0.8982
16150,0.9321,2.1138
16200,1.0291,2.1696
16250,1.4438,1.5576
16300,0.9711,2.3606
16350,1.1622,0.7689
16400,1.1546,0.9446
16450,1.3263,1.534
16500,0.8565,4.2591
16550,2.2975,4.6281
16600,0.9554,0.6556
16650,1.5092,0.6606
16700,0.8598,1.4995
16750,1.2568,3.3684
16800,0.9633,2.2226
16850,1.151,2.0252
16900,0.6275,1.3167
16950,0.8473,4.7666
17000,1.139,1.3066
17050,1.5124,0.4595
17100,0.9899,1.0817
17150,0.6092,4.0221
17200,0.7313,1.9871
17250,0.9327,1.5153
17300,1.1212,2.7482
17350,1.4257,2.9546
17400,1.102,1.1579
17450,1.801,2.5362
17500,1.0476,2.1458
17550,1.7363,4.9326
17600,1.3791,2.045
17650,0.714,2.2791
17700,1.5926,0.9583
17750,0.9076,3.6153
17800,0.5028,2.4638
17850,0.9282,2.4455
17900,0.9133,2.9914
17950,1.0852,4.343
18000,0.7113,2.1812
18050,1.1909,1.8595
18100,1.5151,2.1727
18150,1.0618,1.8556
18200,2.2909,2.8614
18250,1.0632,2.4849
18300,1.2043,1.6172
18350,0.7607,2.1503
18400,1.0642,2.0554
18450,0.76,1.8722
18500,0.8718,1.8382
18550,0.7807,1.6802
18600,0.9007,1.5601
18650,1.2553,2.9627
18700,0.9064,3.331
18750,1.6364,5.1683
18800,0.5631,4.0272
18850,0.8575,2.4341
18900,1.5018,4.1557
18950,2.0001,2.4434
19000,0.8475,1.5787
19050,0.7002,2.3628
19100,1.0127,2.3787
19150,0.9048,1.8531
19200,1.4146,3.8859
19250,0.8553,1.5101
19300,0.7332,2.6851
19350,1.3297,2.661
19400,0.8716,3.9306
19450,0.8955,2.3446
19500,0.9183,1.4722
19550,0.9904,2.689
19600,1.8417,0.6748
19650,1.6679,4.3022
19700,1.0802,2.0283
19750,0.7693,2.0452
19800,1.0166,1.9119
19850,2.145,2.2314
19900,1.0405,1.1916
19950,2.6878,2.0941
20000,0.7329,0.325
20050,0.8715,1.6525
20100,0.6272,1.6645
20150,0.7503,1.6784
20200,1.1332,3.0337
20250,1.2821,3.8489
20300,0.9017,3.7878
20350,0.8666,2.087
20400,3.5927,3.7011
20450,1.0231,1.1883
20500,1.1456,2.8165
20550,1.431,0.5477
20600,0.6176,2.2762
20650,0.5271,1.8796
20700,1.0471,3.3935
20750,1.1204,2.1295
20800,0.7086,2.0425
20850,1.1667,3.1969
20900,0.9362,2.7375
20950,0.5732,1.3896
21000,1.1847,1.0832
21050,0.9766,1.6872
21100,0.6234,1.2943
21150,1.2395,1.6212
21200,1.123,1.9416
21250,1.2414,1.5751
21300,1.1427,2.0315
21350,1.5157,0.6811
21400,2.0258,2.309
21450,1.5744,2.8034
21500,0.7805,1.0919
21550,0.8301,2.0533
21600,1.0889,1.4505
21650,0.9742,2.5082
21700,1.0475,1.7463
21750,0.9206,1.7227
21800,0.8185,1.7987
21850,0.7471,2.8331
21900,1.3625,5.2601
21950,0.9719,2.1936
22000,1.738,1.4321
22050,1.2908,2.0912
22100,0.8637,2.2813
22150,1.008,1.2314
22200,1.0548,4.1941
22250,1.2002,1.868
22300,0.8473,1.5506
22350,0.888,1.287
22400,0.6492,2.7422
22450,0.8447,1.512
22500,1.0959,1.3512
22550,1.0073,1.8621
22600,1.3948,2.3601
22650,2.0039,2.8549
22700,1.2183,4.6215
22750,1.3804,0.6577
22800,1.0012,0.6622
22850,1.0176,1.3208
22900,1.1708,3.545
22950,0.7514,2.4825
23000,0.953,0.7467
23050,1.1506,1.3991
23100,1.2265,2.589
23150,1.3519,3.0119
23200,1.1642,1.4294
23250,1.8484,1.1818
23300,0.6971,1.93
23350,1.2338,3.3469
23400,1.2933,2.8397
23450,1.1904,4.0347
23500,1.1722,1.9366
23550,0.6145,1.5383
23600,1.2439,3.1469
23650,0.6236,5.1711
23700,0.8411,2.0321
23750,0.7758,1.9659
23800,0.9448,2.2475
23850,1.4936,2.2445
23900,0.5884,2.7954
23950,1.0233,1.4924
24000,1.2131,1.9793
24050,1.069,1.406
24100,0.8483,2.4511
24150,1.0022,1.9096
24200,1.0173,1.7211
24250,0.9463,1.5892
24300,0.9246,2.9594
24350,1.1927,0.8373
24400,0.8617,0.8918
24450,0.7806,1.8726
24500,1.5113,3.6767
24550,1.3719,2.3347
24600,0.7905,3.4013
24650,0.9892,2.0763
24700,1.2255,1.2643
24750,1.403,1.0638
24800,0.871,1.6522
24850,1.0821,2.1031
24900,0.864,1.0044
24950,1.0312,2.4383
25000,0.9042,0.5244
25050,1.3268,2.2388
25100,0.7072,0.7849
25150,1.177,1.4411
25200,0.8017,2.4629
25250,0.8922,1.4765
25300,0.9847,1.6407
25350,0.8964,2.2899
25400,0.6307,2.1176
25450,1.2713,2.7433
25500,3.9677,0.7133
25550,0.8346,2.6981
25600,1.1967,2.3149
25650,0.9158,2.0136
25700,0.9692,1.7952
25750,1.5407,1.0152
25800,0.9025,1.8348
25850,1.282,2.5614
25900,1.1358,1.5335
25950,0.9145,0.4991
26000,1.8856,0.8523
26050,0.7071,3.7407
26100,1.1133,1.6314
26150,1.5122,2.5086
26200,0.703,2.51
26250,1.0819,2.5635
26300,0.8591,1.8939
26350,2.7594,2.472
26400,1.3613,4.5238
26450,0.942,1.485
26500,1.2198,1.4089
26550,0.5945,1.1394
26600,1.8118,4.3051
26650,0.994,2.2234
26700,1.7828,1.8029
26750,1.1169,2.8603
26800,1.17,1.943
26850,1.1695,0.8787
26900,0.9804,1.9273
26950,1.6485,1.0577
27000,1.2416,1.8387
27050,2.1944,1.2518
27100,1.0217,2.8769
27150,1.0157,1.611
27200,1.9578,3.7266
27250,1.2679,1.3837
27300,0.771,2.6393
27350,0.9567,1.4505
27400,0.9844,1.2843
27450,1.3099,0.8943
27500,0.9741,1.6925
27550,0.8985,1.8601
27600,1.0721,1.746
27650,0.9703,1.3487
27700,0.6848,2.1765
27750,1.2518,1.6932
27800,0.797,2.4294
27850,1.7171,0.8899
27900,0.705,2.1099
27950,0.8825,2.0499
28000,1.1397,1.1398
28050,2.882,4.411
28100,1.0323,1.9095
28150,0.9542,1.9924
28200,0.9257,2.0713
28250,1.5517,2.1985
28300,0.9511,1.9995
28350,1.1452,2.3819
28400,0.9103,2.0148
28450,0.8404,2.9138
28500,0.9881,2.2979
28550,1.196,1.7299
28600,1.0474,1.4506
28650,1.4049,2.2772
28700,1.0669,1.4654
28750,0.9692,2.2081
28800,2.5718,3.1396
28850,1.5225,2.5333
28900,0.9808,1.1308
28950,1.2637,2.0651
29000,0.7467,1.9351
29050,1.0297,2.6922
29100,1.0147,1.6175
29150,3.2995,2.2845
29200,0.7765,1.911
29250,0.8647,1.3641
29300,0.7515,2.6697
29350,1.3539,2.7247
29400,0.97,1.2224
29450,0.9409,2.0415
29500,0.9009,2.3137
29550,1.2285,1.8696
29600,0.9868,1.9693
29650,1.0141,1.1984
29700,1.195,1.7305
29750,0.7719,2.4161
29800,0.8461,3.1812
29850,1.2737,1.6365
29900,0.8289,2.0629
29950,2.0291,1.8831
30000,1.8958,1.4508
30050,1.0939,0.5258
30100,1.2157,2.1561
30150,1.0227,2.0122
30200,0.7629,1.8012
30250,0.946,1.6209
30300,1.2846,1.4534
30350,2.09,6.4926
